id,value
id_0,25.9096684436
id_1,67.0325571997
id_2,18.6767896118
id_3,29.1904661944
id_4,8.57643838742
id_5,33.1946431512
id_6,41.2352109777
id_7,17.3564447144
id_8,52.0112307454
id_9,30.4412501719
id_10,38.1243460094
id_11,58.1455493859
id_12,37.2609396244
id_13,42.3130373237
id_14,27.0430405226
id_15,13.2543163638
id_16,49.4246955351
id_17,23.1556514793
id_18,16.7773338551
id_19,17.4219901386
id_20,16.184056343
id_21,31.0532640718
id_22,41.4029317091
id_23,12.1817910229
id_24,61.3990488704
id_25,46.1082053765
id_26,27.0849402275
id_27,7.62324411936
id_28,27.3252608175
id_29,36.3469829933
id_30,18.2379588953
id_31,10.6919285602
id_32,16.3625491344
id_33,8.70536336878
id_34,15.426930055
id_35,41.27579607
id_36,19.1858967197
id_37,26.0988204936
id_38,5.09704252385
id_39,61.3048547544
id_40,48.2117880727
id_41,22.2197743837
id_42,54.0013258569
id_43,18.712194534
id_44,44.8194446848
id_45,49.144364734
id_46,60.5186649037
id_47,39.9743169489
id_48,57.7731155578
id_49,37.7240174038
id_50,32.4348867738
id_51,24.7901780819
id_52,39.5564577022
id_53,24.5908090179
id_54,37.5448283624
id_55,36.262537783
id_56,25.2496274393
id_57,22.9723350446
id_58,34.2493293996
id_59,31.1387410196
id_60,13.8149502515
id_61,19.9543533047
id_62,31.379047605
id_63,57.8280577369
id_64,51.1888503005
id_65,28.2710030965
id_66,39.753535805
id_67,52.5635920881
id_68,31.1939597287
id_69,39.3148665882
id_70,68.2004781003
id_71,56.2585481778
id_72,42.7209686355
id_73,16.359172329
id_74,14.5736246029
id_75,38.7923791323
id_76,68.2280677512
id_77,3.16734723865
id_78,41.3631389118
id_79,42.5956028933
id_80,8.92095863337
id_81,22.8163753753
id_82,6.34170742477
id_83,29.7402041696
id_84,10.4281218369
id_85,4.86273570778
id_86,17.0347336274
id_87,10.2049939161
id_88,17.3397919721
id_89,20.1875388237
id_90,33.9401484543
id_91,12.5915827725
id_92,12.9546000302
id_93,9.59114917967
id_94,36.7120170476
id_95,13.3563555475
id_96,16.9976135026
id_97,8.69540453465
id_98,10.5173470343
id_99,4.70689541366
id_100,10.6459170565
id_101,16.9336837975
id_102,12.2708662351
id_103,8.15500692487
id_104,12.3055515385
id_105,35.8982867185
id_106,26.0558288636
id_107,8.26392292078
id_108,16.8720428259
id_109,14.5018647761
id_110,12.4634142978
id_111,15.8760591554
id_112,15.7036383524
id_113,24.2893679787
id_114,19.2824548142
id_115,15.9800490644
id_116,6.90201073399
id_117,44.8832376941
id_118,26.6829585687
id_119,1.03607384711
id_120,1.04619034965
id_121,10.529667573
id_122,12.2974564861
id_123,12.8918533531
id_124,6.59347809677
id_125,25.9739093591
id_126,21.7656375744
id_127,9.29474891708
id_128,19.1357432456
id_129,13.5956555229
id_130,0.216356371119
id_131,33.2044884458
id_132,12.8657621683
id_133,19.4206044287
id_134,26.6975446114
id_135,23.0140713232
id_136,9.6259344243
id_137,22.1362052049
id_138,81.8300092064
id_139,57.2696120677
id_140,27.4887801244
id_141,18.0550564143
id_142,24.6658713057
id_143,7.31544756554
id_144,12.7374275733
id_145,9.00818353778
id_146,19.2521867506
id_147,7.34731931872
id_148,12.0752540298
id_149,16.8718413846
id_150,44.7036606176
id_151,22.737018585
id_152,21.8707742523
id_153,14.7045982134
id_154,13.7090449434
id_155,23.1258892163
id_156,23.3365816627
id_157,36.5781766295
id_158,4.30417594661
id_159,22.470947919
id_160,42.5315368258
id_161,19.4643689915
id_162,66.780515015
id_163,16.8184366317
id_164,35.4111906503
id_165,25.2204903629
id_166,22.908782249
id_167,2.2772792407
id_168,72.3468932192
id_169,17.1360809402
id_170,14.9197411972
id_171,72.9113770022
id_172,20.4334704502
id_173,2.01132184473
id_174,23.8344826712
id_175,3.09913623885
id_176,7.20865309268
id_177,21.3040671171
id_178,21.9034375875
id_179,23.9954674688
id_180,45.602497337
id_181,31.1073262962
id_182,28.414956702
id_183,14.3666071045
id_184,8.05600599023
id_185,44.5567728591
id_186,37.2820577978
id_187,33.986682955
id_188,16.8973384177
id_189,23.0151358157
id_190,14.6408512421
id_191,13.366144638
id_192,31.8323695617
id_193,70.1444647253
id_194,27.73932112
id_195,11.3087889862
id_196,63.2039531714
id_197,15.1487931374
id_198,19.9883490375
id_199,22.807216403
id_200,133.14431287
id_201,24.260061575
id_202,57.7752609612
id_203,5.70277296124
id_204,61.2662391336
id_205,35.2176451795
id_206,14.8512593781
id_207,13.1562604807
id_208,63.3797131774
id_209,14.9758913318
id_210,36.6307046421
id_211,67.2935083532
id_212,16.9292179226
id_213,121.190474612
id_214,41.4995243985
id_215,74.8940887558
id_216,96.3109584303
id_217,73.9573988084
id_218,28.9010263297
id_219,16.9747649106
id_220,31.3775245533
id_221,58.0491489961
id_222,27.0350266652
id_223,39.3108206294
id_224,44.6443662991
id_225,9.90743255455
id_226,6.01853083833
id_227,79.7774558661
id_228,29.6072103156
id_229,0.871822518526
id_230,40.7576465655
id_231,14.5307812599
id_232,22.5949919159
id_233,8.57993115356
id_234,14.2282239441
id_235,24.4687903229
id_236,12.7233836893
id_237,4.12622430494
id_238,22.0740470404
id_239,8.05145024715
